store_code,sku,sale_date,units_sold,unit_price,promotion_code
MANNHEIM-01,DRILL-18V,2025-03-31,12,12.00,
MANNHEIM-01,DRILL-18V,2025-04-01,10,12.00,
MANNHEIM-01,DRILL-18V,2025-04-02,10,12.00,
MANNHEIM-01,DRILL-18V,2025-04-03,12,12.00,
MANNHEIM-01,DRILL-18V,2025-04-04,11,12.00,
MANNHEIM-01,DRILL-18V,2025-04-05,10,12.00,
MANNHEIM-01,DRILL-18V,2025-04-06,13,12.00,
MANNHEIM-01,DRILL-18V,2025-04-07,12,12.00,
MANNHEIM-01,DRILL-18V,2025-04-08,8,12.00,
MANNHEIM-01,DRILL-18V,2025-04-09,11,12.00,
MANNHEIM-01,DRILL-18V,2025-04-10,12,12.00,
MANNHEIM-01,DRILL-18V,2025-04-11,8,12.00,
MANNHEIM-01,DRILL-18V,2025-04-12,12,12.00,
MANNHEIM-01,DRILL-18V,2025-04-13,9,12.00,
MANNHEIM-01,DRILL-18V,2025-04-14,9,12.00,
MANNHEIM-01,DRILL-18V,2025-04-15,11,12.00,
MANNHEIM-01,DRILL-18V,2025-04-16,9,12.00,
MANNHEIM-01,DRILL-18V,2025-04-17,12,12.00,
MANNHEIM-01,DRILL-18V,2025-04-18,11,12.00,
MANNHEIM-01,DRILL-18V,2025-04-19,11,12.00,
MANNHEIM-01,DRILL-18V,2025-04-20,8,12.00,
MANNHEIM-01,DRILL-18V,2025-04-21,11,12.00,
MANNHEIM-01,DRILL-18V,2025-04-22,7,12.00,
MANNHEIM-01,DRILL-18V,2025-04-23,10,12.00,
MANNHEIM-01,DRILL-18V,2025-04-24,9,12.00,
MANNHEIM-01,DRILL-18V,2025-04-25,7,12.00,
MANNHEIM-01,DRILL-18V,2025-04-26,9,12.00,
MANNHEIM-01,DRILL-18V,2025-04-27,7,12.00,
MANNHEIM-01,DRILL-18V,2025-04-28,11,12.00,
MANNHEIM-01,DRILL-18V,2025-04-29,10,12.00,
MANNHEIM-01,DRILL-18V,2025-04-30,9,12.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-01,17,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-02,20,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-03,17,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-04,20,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-05,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-06,20,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-07,19,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-08,17,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-09,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-10,19,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-11,20,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-12,17,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-13,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-14,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-15,20,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-16,20,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-17,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-18,18,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-19,18,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-20,18,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-21,18,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-22,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-23,18,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-24,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-25,23,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-26,20,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-27,19,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-28,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-29,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-30,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-01-31,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-01,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-02,19,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-03,23,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-04,19,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-05,19,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-06,20,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-07,23,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-08,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-09,23,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-10,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-11,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-12,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-13,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-14,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-15,20,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-16,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-17,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-18,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-19,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-20,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-21,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-22,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-23,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-24,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-25,24,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-26,21,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-27,24,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-02-28,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-01,24,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-02,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-03,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-04,24,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-05,23,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-06,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-07,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-08,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-09,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-10,23,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-11,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-12,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-13,22,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-14,23,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-15,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-16,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-17,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-18,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-19,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-20,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-21,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-22,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-23,24,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-24,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-25,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-26,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-27,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-28,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-29,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-30,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-03-31,28,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-01,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-02,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-03,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-04,28,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-05,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-06,24,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-07,28,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-08,29,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-09,28,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-10,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-11,29,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-12,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-13,28,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-14,29,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-15,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-16,25,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-17,28,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-18,28,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-19,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-20,29,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-21,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-22,27,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-23,28,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-24,30,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-25,30,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-26,29,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-27,29,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-28,28,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-29,26,15.00,
MANNHEIM-01,SAW-CORDLESS,2025-04-30,30,15.00,
MANNHEIM-01,PAINT-PRO,2025-01-01,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-02,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-03,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-04,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-05,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-06,18,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-07,18,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-08,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-09,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-10,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-11,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-12,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-13,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-14,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-15,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-16,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-17,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-18,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-19,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-20,18,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-21,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-22,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-23,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-24,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-25,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-26,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-27,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-28,18,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-29,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-30,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-01-31,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-01,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-02,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-03,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-04,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-05,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-06,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-07,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-08,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-09,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-10,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-11,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-12,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-13,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-14,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-15,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-16,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-17,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-18,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-19,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-20,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-21,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-22,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-23,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-24,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-25,19,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-26,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-27,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-02-28,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-01,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-02,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-03,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-04,24,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-05,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-06,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-07,24,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-08,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-09,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-10,24,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-11,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-12,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-13,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-14,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-15,24,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-16,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-17,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-18,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-19,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-20,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-21,24,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-22,24,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-23,24,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-24,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-25,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-26,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-27,24,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-28,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-29,24,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-30,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-03-31,20,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-01,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-02,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-03,21,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-04,23,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-05,25,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-06,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-07,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-08,25,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-09,24,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-10,22,18.00,
MANNHEIM-01,PAINT-PRO,2025-04-11,22,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-12,21,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-13,23,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-14,24,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-15,23,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-16,22,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-17,25,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-18,24,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-19,25,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-20,23,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-21,22,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-22,22,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-23,23,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-24,21,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-25,24,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-26,21,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-27,22,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-28,24,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-29,21,15.30,PROMO-PAINT-PRO
MANNHEIM-01,PAINT-PRO,2025-04-30,25,15.30,PROMO-PAINT-PRO
MANNHEIM-01,TILE-CUTTER,2025-01-01,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-02,19,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-03,22,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-04,22,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-05,20,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-06,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-07,23,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-08,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-09,22,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-10,23,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-11,22,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-12,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-13,22,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-14,23,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-15,19,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-16,19,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-17,22,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-18,20,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-19,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-20,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-21,19,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-22,20,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-23,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-24,20,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-25,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-26,18,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-27,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-28,22,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-29,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-30,20,21.00,
MANNHEIM-01,TILE-CUTTER,2025-01-31,18,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-01,20,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-02,18,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-03,22,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-04,19,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-05,20,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-06,22,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-07,18,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-08,19,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-09,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-10,17,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-11,20,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-12,19,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-13,19,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-14,17,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-15,21,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-16,17,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-17,19,21.00,
MANNHEIM-01,TILE-CUTTER,2025-02-18,21,21.00,
